T 19;TABLA 19. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA NARANJA (Fruta fresca)
T 20;TABLA 20. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA PALMA AFRICANA (Fruta fresca)
T 21;TABLA 21. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA PLÁTANO (Fruta fresca)
T 22;TABLA 22. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA TOMATE DE ÁRBOL (Fruta fresca)
T 23;TABLA 23. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA ARROZ (En cáscara)
T 24;TABLA 24. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA ARVEJA SECA (Grano seco)
T 25;TABLA 25. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA ARVEJA TIERNA (En vaina)
T 26;TABLA 26. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA BRÓCOLI (Repollo)
T 27;TABLA 27. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA CEBADA (Grano seco)
T 28;TABLA 28. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA FRÉJOL SECO (Grano seco)
T 29;TABLA 29. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA FRÉJOL TIERNO (En vaina)
T 30;TABLA 30. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA HABA SECA (Grano seco)
T 31;TABLA 31. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA HABA TIERNA (En vaina)
T 32;TABLA 32. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA MAÍZ DURO CHOCLO (En choclo)
T 33;TABLA 33. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA MAÍZ DURO SECO (Grano seco)
T 34;TABLA 34. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA MAÍZ SUAVE CHOCLO (En choclo)
T 35;TABLA 35. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA MAÍZ SUAVE SECO (Grano seco)
T 36;TABLA 36. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA PAPA (Tubérculo fresco)
T 37;TABLA 37. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA SOYA (Grano seco)
T 38;TABLA 38. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA TOMATE RINÓN (Grano seco)
T 39;TABLA 39. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA TRIGO (Grano seco)
T 40;TABLA 40. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA YUCA (Raíz seca)
T 41;TABLA 41. NÚMERO DE CABEZAS DE GANADO VACUNO, SEGÚN REGIÓN Y PROVINCIA
T 42;TABLA 42. NÚMERO DE CABEZAS DE GANADO VACUNO COMPRADAS, SEGÚN REGIÓN Y PROVINCIA
T 43;TABLA 43. NÚMERO DE CABEZAS DE GANADO VACUNO PERDIDAS POR MUERTE, SEGÚN REGIÓN Y PROVINCIA
T 44;TABLA 44. NÚMERO DE CABEZAS DE GANADO VACUNO PERDIDAS POR OTRAS CAUSAS, SEGÚN REGIÓN Y PROVINCIA
T 45;TABLA 45. NÚMERO DE CABEZAS DE GANADO VACUNO SACRIFICADAS, SEGÚN REGIÓN Y PROVINCIA
T 46;TABLA 46. NÚMERO DE CABEZAS DE GANADO VACUNO VENDIDAS, SEGÚN REGIÓN Y PROVINCIA
T 47;TABLA 47. NÚMERO DE CABEZAS DE GANADO PORCINO Y VENTAS, SEGÚN REGIÓN Y PROVINCIA
T 48;TABLA 48. NÚMERO DE CABEZAS DE GANADO OVINO Y VENTAS, SEGÚN REGIÓN Y PROVINCIA
T 49;TABLA 49. NÚMERO DE CABEZAS DE GANADO DE OTRAS ESPECIES, SEGÚN REGIÓN Y PROVINCIA
T 50;TABLA 50. NÚMERO DE AVES CRIADAS EN EL CAMPO POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA
T 51;TABLA 51. NÚMERO DE AVES CRIADAS EN PLANTELES AVÍCOLAS POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA
T 52;TABLA 52. DESTINO DE LAS AVES CRIADAS EN EL CAMPO POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA
T 53;TABLA 53. DESTINO DE LAS AVES CRIADAS EN PLANTELES AVÍCOLAS POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA
T 54;TABLA 54. NÚMERO DE VACAS ORDEÑADAS, PRODUCCIÓN Y DESTINO DE LA LECHE, SEGÚN REGIÓN Y PROVINCIA
T 55;TABLA 55. PRODUCCIÓN Y DESTINO DE HUEVOS DE GALLINA, SEGÚN REGIÓN Y PROVINCIA
T 56;TABLA 56. NÚMERO DE TRABAJADORES NO REMUNERADOS Y REMUNERADOS POR SEXO, SEGÚN REGIÓN Y PROVINCIA
T 57;TABLA 57. SUPERFICIE PLANTADA CON PASTOS CULTIVADOS, SEGÚN REGIÓN Y PROVINCIA
;
GRÁFICOS;
;
GR 1;PORCENTAJE DE USO DEL SUELO, SEGÚN CATEGORÍA Y REGIÓN
GR 10;NÚMERO DE CABEZAS DE GANADO Y PORCENTAJE, SEGÚN ESPECIE
GR 11;NÚMERO DE AVES Y PORCENTAJE POR EXISTENCIA, SEGÚN TIPO DE CRIANZA Y ESPECIES
GR 12;BANANO (Fruta fresca) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 13;CACAO (Almendra seca) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 14;CAFÉ (Grano oro) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 15;CAÑA DE AZÚCAR PARA AZÚCAR (Tallo fresco) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 16;CAÑA DE AZÚCAR PARA OTROS USOS (Tallo fresco) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 17;MANGO (Fruta fresca) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 18;MARACUYÁ (Fruta fresca) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 19;NARANJA (Fruta fresca) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 20;PALMA AFRICANA (Fruta fresca) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 21;PLÁTANO (Fruta fresca) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 22;TOMATE DE ÁRBOL (Fruta fresca) PORCENTAJE DE SUPERFICIE PLANTADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 23;ARROZ (En cáscara) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 24;ARVEJA SECA (Grano seco) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 25;ARVEJA TIERNA (En vaina) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 26;BRÓCOLI (Repollo) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 27;CEBADA (Grano seco) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 28;FRÉJOL SECO (Grano seco) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 29;FRÉJOL TIERNO (En vaina) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 30;HABA SECA (Grano seco) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 31;HABA TIERNA (En vaina) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 32;MAÍZ DURO CHOCLO (En choclo) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 33;MAÍZ DURO SECO (Grano seco) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 34;MAÍZ SUAVE CHOCLO (En choclo) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 35;MAÍZ SUAVE SECO (Grano seco) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 36;PAPA (Tubérculo fresco) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 37;SOYA (Grano seco) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 38;TOMATE RIÑÓN (Fruta fresca) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 39;TRIGO (Grano seco) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 40;YUCA (Raíz fresca) PORCENTAJE DE SUPERFICIE SEMBRADA Y PRODUCCIÓN, SEGÚN REGIÓN Y PROVINCIA
GR 41;GANADO VACUNO NÚMERO DE CABEZAS POR SEXO, SEGÚN REGIÓN
GR 47;GANADO PORCINO NÚMERO DE CABEZAS POR EXISTENCIA Y VENTAS, SEGÚN REGIÓN
GR 48;GANADO OVINO NÚMERO DE CABEZAS POR EXISTENCIA Y VENTAS, SEGÚN REGIÓN
GR 49;GANADO OTRAS ESPECIES NÚMERO DE CABEZAS POR ESPECIES, SEGÚN REGIÓN
GR 50;AVES CRIADAS EN CAMPO NÚMERO DE AVES POR ESPECIE Y PORCENTAJE, SEGÚN REGIÓN
GR 51;AVES CRIADAS EN PLANTEL AVÍCOLA NÚMERO DE AVES POR ESPECIES Y PORCENTAJE, SEGÚN REGIÓN
GR 54;GANADO VACUNO NÚMERO DE VACAS ORDEÑADAS, PRODUCCIÓN Y DESTINO DE LA LECHE, SEGÚN REGIÓN
GR 55;AVES PRODUCCIÓN DE HUEVOS DE GALLINA POR DESTINO, SEGÚN TIPO DE CRIANZA
GR 56;EMPLEO NÚMERO DE TRABAJADORES POR REMUNERACIÓN, CONDICIÓN DE TRABAJO Y PORCENTAJE, SEGÚN REGIÓN 
GR 57;PASTOS CULTIVADOS PORCENTAJE DE SUPERFICIE PLANTADA, SEGÚN REGIÓN Y PROVINCIA
